Global Land and Ocean Temperature Anomalies, March
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.10
1881,0.04
1882,-0.02
1883,-0.19
1884,-0.29
1885,-0.26
1886,-0.29
1887,-0.23
1888,-0.30
1889,0.13
1890,-0.34
1891,-0.24
1892,-0.28
1893,-0.23
1894,-0.28
1895,-0.33
1896,-0.23
1897,-0.14
1898,-0.67
1899,-0.32
1900,-0.04
1901,-0.02
1902,-0.22
1903,-0.25
1904,-0.58
1905,-0.40
1906,-0.19
1907,-0.33
1908,-0.58
1909,-0.52
1910,-0.51
1911,-0.60
1912,-0.31
1913,-0.46
1914,-0.18
1915,-0.09
1916,-0.28
1917,-0.63
1918,-0.31
1919,-0.24
1920,-0.09
1921,-0.26
1922,-0.11
1923,-0.33
1924,-0.08
1925,-0.24
1926,0.06
1927,-0.30
1928,-0.26
1929,-0.31
1930,-0.09
1931,-0.02
1932,-0.19
1933,-0.28
1934,-0.32
1935,-0.16
1936,-0.17
1937,-0.18
1938,0.04
1939,-0.17
1940,0.10
1941,0.18
1942,0.14
1943,-0.03
1944,0.35
1945,0.10
1946,0.03
1947,0.03
1948,-0.18
1949,-0.05
1950,-0.09
1951,-0.15
1952,-0.01
1953,0.20
1954,-0.09
1955,-0.30
1956,-0.18
1957,-0.05
1958,0.16
1959,0.21
1960,-0.18
1961,0.17
1962,0.17
1963,-0.02
1964,-0.15
1965,-0.09
1966,0.02
1967,0.03
1968,0.15
1969,0.12
1970,0.06
1971,-0.10
1972,0.03
1973,0.37
1974,-0.03
1975,0.12
1976,-0.22
1977,0.31
1978,0.23
1979,0.23
1980,0.28
1981,0.45
1982,0.10
1983,0.43
1984,0.30
1985,0.20
1986,0.30
1987,0.27
1988,0.53
1989,0.35
1990,0.77
1991,0.37
1992,0.44
1993,0.41
1994,0.38
1995,0.50
1996,0.35
1997,0.50
1998,0.68
1999,0.40
2000,0.55
2001,0.65
2002,0.82
2003,0.61
2004,0.70
2005,0.74
2006,0.64
2007,0.67
2008,0.75
2009,0.57
2010,0.88
2011,0.60
2012,0.52
2013,0.67
2014,0.77
2015,0.93
2016,1.31
2017,1.09
2018,0.89
2019,1.10
2020,1.18
2021,0.85
